row_id,attribute,task,feature,r,candidate,side,actor_uid,attr_value,per_actor_F,per_clip_F,n_frames,g1_csv
height_walking_root_translate_mean_vel,height,walking,root_translate_mean_vel,-0.22765596399457944,gap,low,A020,197.0,14.904823303222656,14.904823303222656,1013,g1/csv/220705/Loop_Forward_Walk_001__A020.csv
height_turning_waist_rom,height,turning,waist_rom,0.22065301344642962,extreme,high,A487,180.0,43.279083251953125,43.279083251953125,767,g1/csv/231019/mid_big_valve_under_ccw_001__A487.csv
height_turning_waist_rom,height,turning,waist_rom,0.22065301344642962,extreme,low,A480,163.0,30.848560333251953,30.848560333251953,1142,g1/csv/231018/mid_big_valve_under_ccw_001__A480.csv
height_turning_waist_rom,height,turning,waist_rom,0.22065301344642962,gap,high,A145,177.0,55.359012603759766,55.359012603759766,521,g1/csv/230125/turn_crouch_360_002__A145.csv
height_turning_waist_rom,height,turning,waist_rom,0.22065301344642962,gap,low,A198,171.0,12.388544082641602,12.388544082641602,494,g1/csv/230215/turn_crouch_360_R_001__A198.csv
height_dancing_elbow_peak_vel,height,dancing,elbow_peak_vel,-0.18997152885212387,extreme,high,A320,163.0,985.0984497070312,985.0984497070312,456,g1/csv/230413/dance_vouge_go_up_4_step_R_fast_003__A320.csv
height_dancing_elbow_peak_vel,height,dancing,elbow_peak_vel,-0.18997152885212387,extreme,low,A319,175.0,131.17286682128906,131.17286682128906,353,g1/csv/230413/dance_vouge_go_up_4_step_R_fast_002__A319.csv
height_dancing_elbow_peak_vel,height,dancing,elbow_peak_vel,-0.18997152885212387,gap,high,A317,168.0,4929.330780029297,4929.330780029297,934,g1/csv/230413/dance_hiphop_point_head_R_003__A317.csv
height_dancing_elbow_peak_vel,height,dancing,elbow_peak_vel,-0.18997152885212387,gap,low,A319,175.0,797.8582458496094,797.8582458496094,405,g1/csv/230413/dance_hiphop_point_head_R_003__A319.csv
height_sitting_hip_peak_vel,height,sitting,hip_peak_vel,-0.1797136997663796,extreme,high,A037,155.0,1889.2118530273438,1889.2118530273438,1253,g1/csv/220727/sit_on_heels_start_001__A037.csv
height_sitting_hip_peak_vel,height,sitting,hip_peak_vel,-0.1797136997663796,extreme,low,A031,192.0,373.2220458984375,373.2220458984375,734,g1/csv/220720/sit_on_heels_start_003__A031.csv
height_sitting_hip_peak_vel,height,sitting,hip_peak_vel,-0.1797136997663796,gap,high,A099,171.0,20658.3115234375,20658.3115234375,511,g1/csv/230103/sit_on_heels_stop_003__A099.csv
height_sitting_hip_peak_vel,height,sitting,hip_peak_vel,-0.1797136997663796,gap,low,A034,183.0,188.18756103515625,188.18756103515625,505,g1/csv/220721/sit_on_heels_stop_003__A034.csv
gender_climbing_box_knee_rom,gender,climbing box,knee_rom,-0.46374729671808895,extreme,high,A159,0.0,118.60702133178711,118.60702133178711,1474,g1/csv/230131/lift_crate_come_up_50cm_box_R_002__A159.csv
gender_climbing_box_knee_rom,gender,climbing box,knee_rom,-0.46374729671808895,extreme,low,A142,1.0,95.85610961914062,95.85610961914062,477,g1/csv/230124/lift_crate_come_up_50cm_box_R_003__A142.csv
gender_climbing_box_knee_rom,gender,climbing box,knee_rom,-0.46374729671808895,gap,high,A065,0.0,133.43729400634766,133.43729400634766,1270,g1/csv/221117/come_up_50cm_box_R_002__A065.csv
gender_climbing_box_knee_rom,gender,climbing box,knee_rom,-0.46374729671808895,gap,low,A052,1.0,1.536886215209961,1.536886215209961,475,g1/csv/221011/come_up_50cm_box_R_002__A052.csv
gender_jogging_shoulder_mean_vel,gender,jogging,shoulder_mean_vel,-0.43481517980411544,extreme,high,A361,0.0,182.8337173461914,182.8337173461914,883,g1/csv/230509/jog_butt_kick_R_stop_002__A361.csv
gender_jogging_shoulder_mean_vel,gender,jogging,shoulder_mean_vel,-0.43481517980411544,extreme,low,A360,1.0,55.199045181274414,55.199045181274414,883,g1/csv/230509/jog_butt_kick_R_stop_002__A360.csv
gender_jogging_shoulder_mean_vel,gender,jogging,shoulder_mean_vel,-0.43481517980411544,gap,high,A359,0.0,363.3308410644531,363.3308410644531,1087,g1/csv/230509/exercise_v002_R_002__A359.csv
gender_jogging_shoulder_mean_vel,gender,jogging,shoulder_mean_vel,-0.43481517980411544,gap,low,A044,1.0,65.50174713134766,65.50174713134766,809,g1/csv/220728/exercise_2_001__A044.csv
gender_dancing_elbow_rom,gender,dancing,elbow_rom,-0.3798242315305626,extreme,high,A466,0.0,141.91465759277344,141.91465759277344,1020,g1/csv/231006/dance_party_hips_004__A466.csv
gender_dancing_elbow_rom,gender,dancing,elbow_rom,-0.3798242315305626,extreme,low,A467,1.0,21.839448928833008,21.839448928833008,769,g1/csv/231006/dance_party_hips_003__A467.csv
gender_dancing_elbow_rom,gender,dancing,elbow_rom,-0.3798242315305626,gap,high,A317,0.0,141.67572021484375,141.67572021484375,1695,g1/csv/230413/dancing_routine_V001_003__A317.csv
gender_dancing_elbow_rom,gender,dancing,elbow_rom,-0.3798242315305626,gap,low,A055,1.0,8.908191680908203,8.908191680908203,1716,g1/csv/221012/dancing_routine_1_004__A055.csv
gender_jogging_turning_ankle_rom,gender,"jogging, turning",ankle_rom,-0.3554724597052833,extreme,high,A017,0.0,75.25958251953125,75.25958251953125,11545,g1/csv/220705/Turn_Start_Jog_0135_001__A017.csv
