row_id,attribute,task,feature,r,side,actor_uid,attr_value,per_actor_F,per_clip_F,n_frames,g1_csv
gender_walking_turning_ankle_rom,gender,"walking, turning",ankle_rom,-0.377583529307795,high,A046,0.0,41.29401016235352,40.933847427368164,695,g1/csv/221010/turn_walk_360_004__A046.csv
gender_walking_turning_ankle_rom,gender,"walking, turning",ankle_rom,-0.377583529307795,low,A463,1.0,36.9421537399292,35.933860778808594,791,g1/csv/231005/baby_full_diaper_turn_walk_ff_360_start_R_001__A463.csv
gender_jogging_ankle_rom,gender,jogging,ankle_rom,-0.35084902357338843,high,A481,0.0,54.879474851820206,55.29492378234863,608,g1/csv/231018/jog_ff_stop_180_R_001__A481.csv
gender_jogging_ankle_rom,gender,jogging,ankle_rom,-0.35084902357338843,low,A069,1.0,50.62590026855469,50.43733596801758,308,g1/csv/221118/jog_ff_loop_225_003__A069.csv
gender_jumping_turning_ankle_rom,gender,"jumping, turning",ankle_rom,-0.3276407534235852,high,A021,0.0,58.20508359909058,58.18534278869629,748,g1/csv/220713/jump_left_002__A021.csv
gender_jumping_turning_ankle_rom,gender,"jumping, turning",ankle_rom,-0.3276407534235852,low,A217,1.0,38.11043119430542,38.521127700805664,260,g1/csv/230223/turn_jump_270_R_002__A217.csv
gender_climbing_box_ankle_rom,gender,climbing box,ankle_rom,-0.20747019044425147,high,A065,0.0,68.9934754371643,67.98175621032715,1270,g1/csv/221117/come_up_50cm_box_R_002__A065.csv
gender_climbing_box_ankle_rom,gender,climbing box,ankle_rom,-0.20747019044425147,low,A052,1.0,41.40226326783498,49.906328201293945,316,g1/csv/221011/come_up_50cm_box_R_001__A052.csv
gender_jumping_ankle_rom,gender,jumping,ankle_rom,-0.20720194545040993,high,A037,0.0,60.03653340461926,60.73643493652344,608,g1/csv/220727/jump_backward_003__A037.csv
gender_jumping_ankle_rom,gender,jumping,ankle_rom,-0.20720194545040993,low,A420,1.0,54.47642364501953,49.436710357666016,377,g1/csv/230710/jump_ff_270_R_001__A420.csv
gender_walking_ankle_rom,gender,walking,ankle_rom,-0.1911623909565325,high,A448,0.0,47.99399169286093,48.24797248840332,513,g1/csv/230906/walk_ff_loop_360_R_fast_001__A448.csv
gender_walking_ankle_rom,gender,walking,ankle_rom,-0.1911623909565325,low,A544,1.0,41.95382881164551,41.76600646972656,3433,g1/csv/240529/proud_walk_ff_270_R_001__A544.csv
gender_dancing_ankle_rom,gender,dancing,ankle_rom,-0.11703056126238882,high,A024,0.0,43.87340426445007,44.505489349365234,3816,g1/csv/220713/dancing_routine_1_003__A024.csv
gender_dancing_ankle_rom,gender,dancing,ankle_rom,-0.11703056126238882,low,A394,1.0,37.040631198883055,35.96048164367676,1621,g1/csv/230523/dancing_routine_V001_003__A394.csv
gender_kneeling_ankle_rom,gender,kneeling,ankle_rom,-0.11697872830962229,high,A021,0.0,35.52794437408447,46.17337417602539,572,g1/csv/220713/kneeling_start_001__A021.csv
gender_kneeling_ankle_rom,gender,kneeling,ankle_rom,-0.11697872830962229,low,A429,1.0,29.039592504501343,29.28668212890625,539,g1/csv/230713/knightly_bow_R_001__A429.csv
