[load] data\fixed_feature_instances_multi.json  (720 instances)
  [age_ankle_rom_turning_A026] side=high  F_csv=1.17  F_check=1.17
  [age_ankle_rom_turning_A079] side=high  F_csv=1.86  F_check=1.86
  [age_ankle_rom_turning_A044] side=high  F_csv=10.91  F_check=10.91
  [age_ankle_rom_turning_A067] side=high  F_csv=11.61  F_check=11.61
  [age_ankle_rom_transition_A128] side=low  F_csv=75.04  F_check=75.04
  [age_ankle_rom_transition_A126] side=low  F_csv=71.39  F_check=71.39
  [age_ankle_rom_transition_A331] side=low  F_csv=70.59  F_check=70.59
  [age_ankle_rom_transition_A129] side=low  F_csv=70.50  F_check=70.50
  [age_ankle_rom_transition_A257] side=high  F_csv=6.25  F_check=6.25
  [age_ankle_rom_transition_A067] side=high  F_csv=6.29  F_check=6.29
  [age_ankle_rom_transition_A044] side=high  F_csv=8.19  F_check=8.19
  [age_ankle_rom_transition_A063] side=high  F_csv=9.12  F_check=9.12
  [age_ankle_rom_walking_turning_A018] side=low  F_csv=63.50  F_check=63.50
  [age_ankle_rom_walking_turning_A029] side=low  F_csv=63.25  F_check=63.25
  [age_ankle_rom_walking_turning_A140] side=low  F_csv=60.28  F_check=60.28
  [age_ankle_rom_walking_turning_A203] side=low  F_csv=57.51  F_check=57.51
  [age_ankle_rom_walking_turning_A044] side=high  F_csv=26.51  F_check=26.51
  [age_ankle_rom_walking_turning_A043] side=high  F_csv=29.73  F_check=29.73
  [age_ankle_rom_walking_turning_A068] side=high  F_csv=30.46  F_check=30.46
  [age_ankle_rom_walking_turning_A040] side=high  F_csv=30.62  F_check=30.62
  [age_ankle_rom_jumping_turning_A018] side=low  F_csv=83.31  F_check=83.31
  [age_ankle_rom_jumping_turning_A029] side=low  F_csv=77.14  F_check=77.14
  [age_ankle_rom_jumping_turning_A020] side=low  F_csv=62.84  F_check=62.84
  [age_ankle_rom_jumping_turning_A025] side=low  F_csv=61.82  F_check=61.82
  [age_ankle_rom_jumping_turning_A038] side=high  F_csv=1.75  F_check=1.75
  [age_ankle_rom_jumping_turning_A039] side=high  F_csv=3.73  F_check=3.73
  [age_ankle_rom_jumping_turning_A040] side=high  F_csv=9.94  F_check=9.94
  [age_ankle_rom_jumping_turning_A037] side=high  F_csv=11.22  F_check=11.22
  [age_ankle_rom_jogging_A029] side=low  F_csv=82.25  F_check=82.25
  [age_ankle_rom_jogging_A018] side=low  F_csv=81.11  F_check=81.11
  [age_ankle_rom_jogging_A246] side=low  F_csv=77.86  F_check=77.86
  [age_ankle_rom_jogging_A165] side=low  F_csv=76.38  F_check=76.38
  [age_ankle_rom_jogging_A063] side=high  F_csv=0.49  F_check=0.49
  [age_ankle_rom_jogging_A072] side=high  F_csv=0.56  F_check=0.56
  [age_ankle_rom_jogging_A071] side=high  F_csv=2.16  F_check=2.16
  [age_ankle_rom_jogging_A023] side=high  F_csv=4.14  F_check=4.14
  [age_ankle_rom_sitting_A414] side=low  F_csv=0.00  F_check=0.00
  [age_ankle_rom_sitting_A409] side=low  F_csv=0.00  F_check=0.00
  [age_ankle_rom_sitting_A406] side=low  F_csv=0.00  F_check=0.00
  [age_ankle_rom_sitting_A191] side=low  F_csv=0.00  F_check=0.00
  [age_ankle_rom_sitting_A039] side=high  F_csv=85.44  F_check=85.44
  [age_ankle_rom_sitting_A035] side=high  F_csv=85.44  F_check=85.44
  [age_ankle_rom_sitting_A030] side=high  F_csv=85.44  F_check=85.44
  [age_ankle_rom_sitting_A032] side=high  F_csv=85.44  F_check=85.44
  [weight_ankle_peak_vel_jumping_turning_A018] side=low  F_csv=1487.52  F_check=1487.52
  [weight_ankle_peak_vel_jumping_turning_A024] side=low  F_csv=970.94  F_check=970.94
  [weight_ankle_peak_vel_jumping_turning_A029] side=low  F_csv=947.77  F_check=947.77
  [weight_ankle_peak_vel_jumping_turning_A021] side=low  F_csv=900.42  F_check=900.42
  [weight_ankle_peak_vel_jumping_turning_A039] side=high  F_csv=16.54  F_check=16.54
  [weight_ankle_peak_vel_jumping_turning_A025] side=high  F_csv=22.85  F_check=22.85
  [weight_ankle_peak_vel_jumping_turning_A255] side=high  F_csv=256.41  F_check=256.41
  [weight_ankle_peak_vel_jumping_turning_A268] side=high  F_csv=264.92  F_check=264.92
  [weight_ankle_peak_vel_jogging_turning_A167] side=low  F_csv=1588.07  F_check=1588.07
  [weight_ankle_peak_vel_jogging_turning_A064] side=low  F_csv=1286.47  F_check=1286.47
  [weight_ankle_peak_vel_jogging_turning_A021] side=low  F_csv=1199.03  F_check=1199.03
  [weight_ankle_peak_vel_jogging_turning_A018] side=low  F_csv=1157.25  F_check=1157.25
  [weight_ankle_peak_vel_jogging_turning_A039] side=high  F_csv=365.66  F_check=365.66
  [weight_ankle_peak_vel_jogging_turning_A256] side=high  F_csv=387.78  F_check=387.78
  [weight_ankle_peak_vel_jogging_turning_A255] side=high  F_csv=405.09  F_check=405.09
  [weight_ankle_peak_vel_jogging_turning_A072] side=high  F_csv=414.34  F_check=414.34
  [weight_ankle_peak_vel_climbing_box_A330] side=low  F_csv=3074.41  F_check=3074.41
  [weight_ankle_peak_vel_climbing_box_A364] side=low  F_csv=2961.05  F_check=2961.05
  [weight_ankle_peak_vel_climbing_box_A281] side=low  F_csv=2809.00  F_check=2809.00
  [weight_ankle_peak_vel_climbing_box_A249] side=low  F_csv=2792.92  F_check=2792.92
  [weight_ankle_peak_vel_climbing_box_A163] side=high  F_csv=328.97  F_check=328.97
  [weight_ankle_peak_vel_climbing_box_A084] side=high  F_csv=338.65  F_check=338.65
  [weight_ankle_peak_vel_climbing_box_A161] side=high  F_csv=343.48  F_check=343.48
  [weight_ankle_peak_vel_climbing_box_A149] side=high  F_csv=348.22  F_check=348.22
  [weight_ankle_peak_vel_jumping_A443] side=low  F_csv=1588.68  F_check=1588.68
  [weight_ankle_peak_vel_jumping_A301] side=low  F_csv=1499.39  F_check=1499.39
  [weight_ankle_peak_vel_jumping_A450] side=low  F_csv=1484.12  F_check=1484.12
  [weight_ankle_peak_vel_jumping_A317] side=low  F_csv=1470.64  F_check=1470.64
  [weight_ankle_peak_vel_jumping_A408] side=high  F_csv=1.96  F_check=1.96
  [weight_ankle_peak_vel_jumping_A353] side=high  F_csv=83.89  F_check=83.89
  [weight_ankle_peak_vel_jumping_A352] side=high  F_csv=86.46  F_check=86.46
  [weight_ankle_peak_vel_jumping_A354] side=high  F_csv=134.26  F_check=134.26
  [weight_ankle_peak_vel_walking_turning_A024] side=low  F_csv=1636.35  F_check=1636.35
  [weight_ankle_peak_vel_walking_turning_A061] side=low  F_csv=1574.06  F_check=1574.06
  [weight_ankle_peak_vel_walking_turning_A021] side=low  F_csv=1128.54  F_check=1128.54
  [weight_ankle_peak_vel_walking_turning_A064] side=low  F_csv=1128.25  F_check=1128.25
  [weight_ankle_peak_vel_walking_turning_A025] side=high  F_csv=27.89  F_check=27.89
  [weight_ankle_peak_vel_walking_turning_A161] side=high  F_csv=167.54  F_check=167.54
  [weight_ankle_peak_vel_walking_turning_A034] side=high  F_csv=169.38  F_check=169.38
  [weight_ankle_peak_vel_walking_turning_A039] side=high  F_csv=179.15  F_check=179.15
  [weight_ankle_peak_vel_jogging_A033] side=low  F_csv=1817.86  F_check=1817.86
  [weight_ankle_peak_vel_jogging_A359] side=low  F_csv=1518.10  F_check=1518.10
  [weight_ankle_peak_vel_jogging_A029] side=low  F_csv=1436.42  F_check=1436.42
